date,cash,stock_value,total_equity,open_positions,drawdown_pct,cumulative_return_pct
2025-01-01 00:00:00+00:00,100000.0,0.0,100000.0,0,0.0,0.0
2025-01-06 00:00:00+00:00,100000.0,0.0,100000.0,0,0.0,0.0
2025-01-07 00:00:00+00:00,100000.0,0.0,100000.0,0,0.0,0.0
2025-01-08 00:00:00+00:00,100000.0,0.0,100000.0,0,0.0,0.0
2025-01-09 00:00:00+00:00,100000.0,0.0,100000.0,0,0.0,0.0
2025-01-14 00:00:00+00:00,100000.0,0.0,100000.0,0,0.0,0.0
2025-01-15 00:00:00+00:00,16641.61,83233.5,99875.11,1,-0.1249,-0.1249
2025-01-16 00:00:00+00:00,16641.61,0.0,16641.61,1,-83.3584,-83.3584
2025-01-17 00:00:00+00:00,16641.61,0.0,16641.61,1,-83.3584,-83.3584
2025-01-20 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-01-21 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-01-22 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-01-23 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-01-28 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-01-31 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-02-25 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-02-26 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-02-27 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-03 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-05 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-06 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-07 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-11 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-12 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-13 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-17 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-19 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-21 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-03-24 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-04-02 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-04-03 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-04-07 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-04-08 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-04-09 00:00:00+00:00,96937.02,0.0,96937.02,0,-3.063,-3.063
2025-04-10 00:00:00+00:00,70843.73,26054.2,96897.93,1,-3.1021,-3.1021
2025-04-17 00:00:00+00:00,70843.73,0.0,70843.73,1,-29.1563,-29.1563
2025-04-23 00:00:00+00:00,70843.73,0.0,70843.73,1,-29.1563,-29.1563
2025-05-02 00:00:00+00:00,70843.73,0.0,70843.73,1,-29.1563,-29.1563
2025-05-12 00:00:00+00:00,70843.73,0.0,70843.73,1,-29.1563,-29.1563
2025-05-13 00:00:00+00:00,70843.73,0.0,70843.73,1,-29.1563,-29.1563
2025-05-14 00:00:00+00:00,70843.73,0.0,70843.73,1,-29.1563,-29.1563
2025-05-15 00:00:00+00:00,70843.73,0.0,70843.73,1,-29.1563,-29.1563
2025-05-30 00:00:00+00:00,70843.73,0.0,70843.73,1,-29.1563,-29.1563
2025-06-06 00:00:00+00:00,70843.73,0.0,70843.73,1,-29.1563,-29.1563
2025-06-09 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
